收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各团队培训课","3594167410","【Action机械组】全B站最强减速器设计说明【下】",BV147411x73Z,1.0万,3,07:59,https://www.bilibili.com/video/BV147411x73Z
"2、汇丨各团队培训课","3594167410","北京理工大学机器人队暑招2025：ozone调试",BV1uVgyzUE8F,1.1万,10,06:24,https://www.bilibili.com/video/BV1uVgyzUE8F
"2、汇丨各团队培训课","3594167410","【Robocon2025】机械组第五次培训",BV1hCmyYuE3u,1021,0,50:50,https://www.bilibili.com/video/BV1hCmyYuE3u
"2、汇丨各团队培训课","3594167410","北京理工大学机器人队暑招2025：FreeRTOS",BV1i9grz9EdB,4695,2,01:28:59,https://www.bilibili.com/video/BV1i9grz9EdB
"2、汇丨各团队培训课","3594167410","大学生方程式底盘设计（武汉理工）",BV1eK5DzHEV9,8267,0,29:01,https://www.bilibili.com/video/BV1eK5DzHEV9
"2、汇丨各团队培训课","3594167410","硬件组第一讲",BV1wf421B7yr,1.9万,2,01:38:14,https://www.bilibili.com/video/BV1wf421B7yr
"2、汇丨各团队培训课","3594167410","HUSTROBOCON机器人队2025赛季培训——控制视觉组培训第五讲",BV16UK8zXEdb,1192,0,46:54,https://www.bilibili.com/video/BV16UK8zXEdb
"2、汇丨各团队培训课","3594167410","HUSTROBOCON机器人队2025赛季培训——机械组培训第一讲（暨校机器人大赛机械组培训）",BV1Sb28YtED3,2.4万,6,01:24:23,https://www.bilibili.com/video/BV1Sb28YtED3
"2、汇丨各团队培训课","3594167410","[RM-SAS2026] 新导航系统整理+技术储备  1",BV1UPNzzDE2D,2465,0,24:28,https://www.bilibili.com/video/BV1UPNzzDE2D
"2、汇丨各团队培训课","3594167410","这条视频永久置顶 警示自己 警示后人",BV1RfoxYmEtC,3.5万,3,02:46,https://www.bilibili.com/video/BV1RfoxYmEtC
"2、汇丨各团队培训课","3594167410","从放弃到精通！卡尔曼滤波从理论到实践~",BV1Rh41117MT,80.3万,4566,01:22:23,https://www.bilibili.com/video/BV1Rh41117MT
"2、汇丨各团队培训课","3594167410","【天大航模队2024新生培训】第二课：linux基础操作与ROS入门",BV1BNDNYkE7c,1.4万,3,30:00,https://www.bilibili.com/video/BV1BNDNYkE7c
"2、汇丨各团队培训课","3594167410","2025电控组培训第七课【PID控制电机】",BV1ypsfebEDP,5.3万,74,39:58,https://www.bilibili.com/video/BV1ypsfebEDP
