收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各类课程","3197396810","麻省理工学院电子工程和计算机科学系韩松教授， MIT2024 年秋季课程《EfficientML.AI 讲座》",BV1q44Je3E37,2.1万,0,01:06:00,https://www.bilibili.com/video/BV1q44Je3E37
"2、汇丨各类课程","3197396810","鲁棒控制2021版",BV1UK4y197P1,6.4万,491,21:22:23,https://www.bilibili.com/video/BV1UK4y197P1
"2、汇丨各类课程","3197396810","2025.4.14.第一次课(a)",BV1zZdZYyE7B,1.5万,11,51:06,https://www.bilibili.com/video/BV1zZdZYyE7B
"2、汇丨各类课程","3197396810","一整学期的电力电子课(ECE4643)，留存板书方便查找(包含两次客串自控原理)",BV11pLCznEAY,4501,0,01:27,https://www.bilibili.com/video/BV11pLCznEAY
"2、汇丨各类课程","3197396810","火箭推进理论基础",BV1t1fdYdEjj,2.3万,10,01:23:41,https://www.bilibili.com/video/BV1t1fdYdEjj
"2、汇丨各类课程","3197396810","神经网络与深度学习 2024秋 1-1 英文 许粲昊 Neural Network and Deep Learning by Thomas Canhao Xu",BV1KCHre3E19,4014,0,48:41,https://www.bilibili.com/video/BV1KCHre3E19
"2、汇丨各类课程","3197396810","【多伦多大学—自动驾驶课程】神经网络2：损失函数",BV16UFGeZEof,77,0,14:33,https://www.bilibili.com/video/BV16UFGeZEof
"2、汇丨各类课程","3197396810","多智能体系统的共识算法",BV1mNkXYBEi3,1959,0,03:51:15,https://www.bilibili.com/video/BV1mNkXYBEi3
"2、汇丨各类课程","3197396810","清华大学-机械原理（国家级精品课）",BV1n441127Rx,38.9万,3009,35:26:47,https://www.bilibili.com/video/BV1n441127Rx
"2、汇丨各类课程","3197396810","【公开课】加州大学：学习如何学习（全41讲）",BV18V411n7pL,86.1万,1939,03:21:55,https://www.bilibili.com/video/BV18V411n7pL
"2、汇丨各类课程","3197396810","【公开课】导弹设计导论 国防科技大学 （全59讲）",BV1EY4113734,88.3万,3765,15:53:52,https://www.bilibili.com/video/BV1EY4113734
"2、汇丨各类课程","3197396810","UVM基础",BV1QE411Z7XF,23.1万,2334,09:14:25,https://www.bilibili.com/video/BV1QE411Z7XF
"2、汇丨各类课程","3197396810","已失效视频",BV1T34y127Bv,,,,https://www.bilibili.com/video/BV1T34y127Bv
"2、汇丨各类课程","3197396810","【4K精品】模拟电子技术基础 上交大 郑益慧主讲（精校版字幕，模拟电路/模电 讲课水平略胜华成英，视频质量完爆清华版 4K超清重制版）",BV1Gt411b7Zq,1830.6万,32.4万,38:12:52,https://www.bilibili.com/video/BV1Gt411b7Zq
"2、汇丨各类课程","3197396810","【古月居】古月·ROS入门21讲 | 一学就会的ROS机器人入门教程",BV1zt411G7Vn,171.4万,1.8万,06:52:07,https://www.bilibili.com/video/BV1zt411G7Vn
"2、汇丨各类课程","3197396810","清华大学普通物理 (杨振宁先生主讲，共30讲)",BV1Fx411T7sV,312.5万,2.4万,42:37:53,https://www.bilibili.com/video/BV1Fx411T7sV
"2、汇丨各类课程","3197396810","【4K超清修复】27考研最新版 自动控制原理 西北工业大学 卢京潮 自控期末",BV1F34y1h7so,1072.4万,26.2万,58:13:09,https://www.bilibili.com/video/BV1F34y1h7so
