收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨实验室项目","3608268410","Virtual Leash：四足机器人在拥挤场景下的领队跟随避障系统｜ICRA 2025【ETH苏黎世联邦理工】",BV15XKAzKEZp,2641,0,03:01,https://www.bilibili.com/video/BV15XKAzKEZp
"2、汇丨实验室项目","3608268410","Event-Triggered Formation Tracking Control for Multiagent Systems",BV1SeM9zMEJn,1178,0,02:00,https://www.bilibili.com/video/BV1SeM9zMEJn
"2、汇丨实验室项目","3608268410","南开RaHAIC团队：EDEN：大型复杂环境轻量化无人机快速自主探索方法",BV1pvMmzVE39,2836,0,02:56,https://www.bilibili.com/video/BV1pvMmzVE39
"2、汇丨实验室项目","3608268410","Agile plane transition of a climbing hexapod",BV1pMKEzHEcQ,1960,0,02:12,https://www.bilibili.com/video/BV1pMKEzHEcQ
"2、汇丨实验室项目","3608268410","[IROS 2025] 基于无人机的风机自主巡检：叶片停转角度估计与叶片细节优先曝光调整",BV1jWMvzAEVS,4987,1,03:01,https://www.bilibili.com/video/BV1jWMvzAEVS
"2、汇丨实验室项目","3608268410","南开RaHAIC团队：基于DRL的环境自适应运动规划策略：“又灵又稳”高效导航",BV1o5KtzMEN1,3027,0,01:33,https://www.bilibili.com/video/BV1o5KtzMEN1
"2、汇丨实验室项目","3608268410","ETH Zurich人机交互｜开源软件自操控无人机",BV1YFNRzzExz,922,0,02:08,https://www.bilibili.com/video/BV1YFNRzzExz
"2、汇丨实验室项目","3608268410","无人机降落空中航母平台的轨迹规划（基于凸优化）",BV1Mz4y1V7T6,3.0万,11,02:39,https://www.bilibili.com/video/BV1Mz4y1V7T6
"2、汇丨实验室项目","3608268410","集群无人机激光-视觉-惯性的实时三维地图重建",BV1m4NQzWErT,2302,0,02:02,https://www.bilibili.com/video/BV1m4NQzWErT
"2、汇丨实验室项目","3608268410","【组内老论文】纯视觉方案无人机协同吊运消摆控制",BV1TX7hzFEMK,962,0,00:56,https://www.bilibili.com/video/BV1TX7hzFEMK
"2、汇丨实验室项目","3608268410","OmniNet: 具有高度感知且跳跃高度可控的四足机器人全向跳跃框架",BV1nbMnzYE5G,2568,0,03:58,https://www.bilibili.com/video/BV1nbMnzYE5G
"2、汇丨实验室项目","3608268410","还热乎，ETHZ最新IROS 25论文，Diffusion-Based Approximate MPC",BV15kLFzUEzu,4788,1,01:44,https://www.bilibili.com/video/BV15kLFzUEzu
"2、汇丨实验室项目","3608268410","【开源】也许会是目前功能最多的激光SLAM（Lidar SLAM）",BV1KqtgeiEzD,7.3万,4,08:11,https://www.bilibili.com/video/BV1KqtgeiEzD
"2、汇丨实验室项目","3608268410","【帝国理工机器人学习实验室】中文字幕｜2024年度回顾 - Annual Review 2024",BV1k1F2eZETf,1727,2,07:28,https://www.bilibili.com/video/BV1k1F2eZETf
"2、汇丨实验室项目","3608268410","山东大学机器人中心|基于双足基元的模块化拼接足式机器人",BV12xTrzwE9a,8171,6,01:51,https://www.bilibili.com/video/BV12xTrzwE9a
"2、汇丨实验室项目","3608268410","带有形状感知的连续型机械臂",BV1rETQz2EeU,7593,1,01:20,https://www.bilibili.com/video/BV1rETQz2EeU
"2、汇丨实验室项目","3608268410","(TRO 2025) NeuPAN: 首个通过基于模型的学习实现直接基于点的端到端机器人导航",BV14tZEYSEuU,2.0万,0,01:24,https://www.bilibili.com/video/BV14tZEYSEuU
"2、汇丨实验室项目","3608268410","LocoTouch：触觉感知让四足机器人无需固定即可搬运物体",BV1Xr7Hz1Eiw,1712,0,02:00,https://www.bilibili.com/video/BV1Xr7Hz1Eiw
"2、汇丨实验室项目","3608268410","[IROS 2025] Aerial Grasping via Maximizing Delta-ArmWorkspace Utilization",BV1JuZpYEE7S,3200,0,01:07,https://www.bilibili.com/video/BV1JuZpYEE7S
"2、汇丨实验室项目","3608268410","【RAL’25】Cool！单目无人机实现端到端高速避障",BV1o7fMYzEA7,1.8万,0,02:22,https://www.bilibili.com/video/BV1o7fMYzEA7
"2、汇丨实验室项目","3608268410","TMECH！幻思创新Fancinnov 跨模态飞行机器人登上机械电子领域顶刊",BV1METxzQE4w,4222,0,03:01,https://www.bilibili.com/video/BV1METxzQE4w
